#gbff	R	G	B	Domain	Phylum\superphylum
GCA_030587605.1_ASM3058760v1	194	10	76	Archaea	Asgard group
GCA_029855985.1_ASM2985598v1	194	10	76	Archaea	Asgard group
GCA_001940665.2_ASM194066v2	194	10	76	Archaea	Asgard group
GCA_021162905.1_ASM2116290v1	194	10	76	Archaea	Asgard group
GCA_016292335.1_ASM1629233v1	194	10	76	Archaea	Asgard group
GCA_016294985.1_ASM1629498v1	194	10	76	Archaea	Asgard group
GCA_029856345.1_ASM2985634v1	194	10	76	Archaea	Asgard group
GCA_030587475.1_ASM3058747v1	194	10	76	Archaea	Asgard group
GCA_030587545.1_ASM3058754v1	194	10	76	Archaea	Asgard group
GCA_016840425.1_ASM1684042v1	194	10	76	Archaea	Asgard group
GCA_016840505.1_ASM1684050v1	194	10	76	Archaea	Asgard group
GCA_001515205.2_ASM151520v2	244	215	215	Archaea	
GCA_020725895.1_ASM2072589v1	244	215	215	Archaea	
GCA_030018345.1_ASM3001834v1	244	215	215	Archaea	
GCA_002011115.2_ASM201111v2	244	215	215	Archaea	
GCA_023898345.1_ASM2389834v1	255	0	255	Archaea	DPANN group
GCA_000405245.1_ASM40524v1	255	0	255	Archaea	DPANN group
GCA_020724245.1_ASM2072424v1	255	0	255	Archaea	DPANN group
GCA_000404305.1_ASM40430v1	255	0	255	Archaea	DPANN group
GCA_023658895.1_ASM2365889v1	255	0	255	Archaea	DPANN group
GCA_023658995.1_ASM2365899v1	255	0	255	Archaea	DPANN group
GCA_023659905.1_ASM2365990v1	255	0	255	Archaea	DPANN group
GCA_030018415.1_ASM3001841v1	255	0	255	Archaea	DPANN group
GCA_009992655.1_ASM999265v1	255	0	255	Archaea	DPANN group
GCA_018260655.1_ASM1826065v1	255	0	255	Archaea	DPANN group
GCA_030017345.1_ASM3001734v1	255	0	255	Archaea	DPANN group
GCA_028712125.1_ASM2871212v1	255	0	255	Archaea	DPANN group
GCA_009392915.1_ASM939291v1	255	0	255	Archaea	DPANN group
GCA_000402355.1_ASM40235v1	255	0	255	Archaea	DPANN group
GCA_028713935.1_ASM2871393v1	255	0	255	Archaea	DPANN group
GCA_026397035.1_ASM2639703v1	255	0	255	Archaea	DPANN group
GCA_000404545.1_ASM40454v1	255	0	255	Archaea	DPANN group
GCA_023659865.1_ASM2365986v1	255	0	255	Archaea	DPANN group
GCA_002790315.1_ASM279031v1	255	0	255	Archaea	DPANN group
GCA_022729275.1_ASM2272927v1	255	0	255	Archaea	DPANN group
GCA_022729335.1_ASM2272933v1	255	0	255	Archaea	DPANN group
GCA_022257775.1_ASM2225777v1	255	0	255	Archaea	DPANN group
GCA_022729315.1_ASM2272931v1	255	0	255	Archaea	DPANN group
GCA_009617975.1_ASM961797v1	255	0	255	Archaea	DPANN group
GCA_029232205.1_ASM2923220v1	255	0	255	Archaea	DPANN group
GCA_022729205.1_ASM2272920v1	255	0	255	Archaea	DPANN group
GCA_016186375.1_ASM1618637v1	255	0	255	Archaea	DPANN group
GCA_015122075.1_ASM1512207v1	255	0	255	Archaea	DPANN group
GCA_025920275.1_ASM2592027v1	255	0	255	Archaea	DPANN group
GCA_020724955.1_ASM2072495v1	255	0	255	Archaea	DPANN group
GCA_025920495.1_ASM2592049v1	255	0	255	Archaea	DPANN group
GCA_023378865.1_ASM2337886v1	255	0	255	Archaea	DPANN group
GCA_014189685.1_ASM1418968v1	255	0	255	Archaea	DPANN group
GCA_014189715.1_ASM1418971v1	255	0	255	Archaea	DPANN group
GCA_030600945.1_ASM3060094v1	255	0	255	Archaea	DPANN group
GCA_018648165.1_ASM1864816v1	255	0	255	Archaea	DPANN group
GCA_016432305.1_ASM1643230v1	255	0	255	Archaea	DPANN group
GCA_018992765.1_ASM1899276v1	255	0	0	Archaea	Euryarchaeota
GCA_029762755.1_ASM2976275v1	128	51	0	Archaea	TACK group
GCA_009787175.1_ASM978717v1	128	51	0	Archaea	TACK group
GCA_002254975.1_ASM225497v1	128	51	0	Archaea	TACK group
GCA_001273375.1_ASM127337v1	128	51	0	Archaea	TACK group
GCA_017601145.1_ASM1760114v1	128	51	0	Archaea	TACK group
GCA_015520395.1_ASM1552039v1	128	51	0	Archaea	TACK group
GCA_002011085.2_ASM201108v2	128	51	0	Archaea	TACK group
GCA_002011075.2_ASM201107v2	128	51	0	Archaea	TACK group
GCA_015522045.1_ASM1552204v1	128	51	0	Archaea	TACK group
GCA_023378925.1_ASM2337892v1	128	51	0	Archaea	TACK group
GCA_026414405.1_ASM2641440v1	128	51	0	Archaea	TACK group
GCA_022839705.1_ASM2283970v1	128	51	0	Archaea	TACK group
GCA_001717005.1_ASM171700v1	128	51	0	Archaea	TACK group
GCA_001717025.1_ASM171702v1	128	51	0	Archaea	TACK group
GCA_001717085.1_ASM171708v1	128	51	0	Archaea	TACK group
GCA_004028775.1_ASM402877v1	128	51	0	Archaea	TACK group
GCA_029907755.1_ASM2990775v1	128	51	0	Archaea	TACK group
GCA_026414045.1_ASM2641404v1	128	51	0	Archaea	TACK group
GCA_014361445.1_ASM1436144v1	128	51	0	Archaea	TACK group
GCA_026414085.1_ASM2641408v1	128	51	0	Archaea	TACK group
GCA_029887795.1_ASM2988779v1	128	51	0	Archaea	TACK group
GCA_002197525.1_ASM219752v1	0	153	153	Bacteria	Acidobacteriota
GCA_001664505.1_ASM166450v1	0	153	153	Bacteria	Acidobacteriota
GCA_902505605.1_MAG_SS3	0	153	153	Bacteria	Acidobacteriota
GCA_014764515.1_ASM1476451v1	0	153	153	Bacteria	Acidobacteriota
GCA_021647945.1_ASM2164794v1	0	153	153	Bacteria	Acidobacteriota
GCA_017377855.1_ASM1737785v1	0	153	153	Bacteria	Acidobacteriota
GCA_017498545.1_ASM1749854v1	0	153	153	Bacteria	Acidobacteriota
GCA_022808775.1_ASM2280877v1	0	153	153	Bacteria	Acidobacteriota
GCA_022808865.1_ASM2280886v1	0	153	153	Bacteria	Acidobacteriota
GCA_022808885.1_ASM2280888v1	0	153	153	Bacteria	Acidobacteriota
GCA_016714685.1_ASM1671468v1	0	153	153	Bacteria	Acidobacteriota
GCA_016721195.1_ASM1672119v1	0	153	153	Bacteria	Acidobacteriota
GCA_030268045.1_ASM3026804v1	0	153	153	Bacteria	Acidobacteriota
GCA_030268065.1_ASM3026806v1	0	153	153	Bacteria	Acidobacteriota
GCA_030268085.1_ASM3026808v1	0	153	153	Bacteria	Acidobacteriota
GCA_030295385.1_ASM3029538v1	0	153	153	Bacteria	Acidobacteriota
GCA_000428885.1_ASM42888v1	0	153	153	Bacteria	Acidobacteriota
GCA_030845995.1_ASM3084599v1	0	153	153	Bacteria	Acidobacteriota
GCA_030219325.1_ASM3021932v1	0	153	153	Bacteria	Acidobacteriota
GCA_031292735.1_ASM3129273v1	0	153	153	Bacteria	Acidobacteriota
GCA_030295405.1_ASM3029540v1	0	153	153	Bacteria	Acidobacteriota
GCA_030295425.1_ASM3029542v1	0	153	153	Bacteria	Acidobacteriota
GCA_016699405.1_ASM1669940v1	0	153	153	Bacteria	Acidobacteriota
GCA_016592575.1_ASM1659257v1	0	153	153	Bacteria	Acidobacteriota
GCA_023146195.1_ASM2314619v1	0	153	153	Bacteria	Acidobacteriota
GCA_027493095.1_ASM2749309v1	0	153	153	Bacteria	Acidobacteriota
GCA_027493435.1_ASM2749343v1	0	153	153	Bacteria	Acidobacteriota
GCA_014764525.1_ASM1476452v1	0	153	153	Bacteria	Acidobacteriota
GCA_020722665.1_ASM2072266v1	0	153	153	Bacteria	Acidobacteriota
GCA_025998615.1_ASM2599861v1	0	153	153	Bacteria	Acidobacteriota
GCA_022865555.1_ASM2286555v1	0	153	153	Bacteria	Acidobacteriota
GCA_025456145.1_ASM2545614v1	0	153	153	Bacteria	Acidobacteriota
GCA_023151335.1_ASM2315133v1	0	153	153	Bacteria	Acidobacteriota
GCA_020723565.1_ASM2072356v1	0	153	153	Bacteria	Atribacterota
GCA_032249175.1_ASM3224917v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_944324715.1_BRZ_F_bin42	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018716565.1_ASM1871656v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_944327015.1_BRZ_BD_bin35	95	211	188	Bacteria	Bacteria incertae sedis
GCA_947856955.1_chick28_bin6	95	211	188	Bacteria	Bacteria incertae sedis
GCA_947857025.1_chick28_bin15	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018713115.1_ASM1871311v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_947854155.1_chick43_bin6	95	211	188	Bacteria	Bacteria incertae sedis
GCA_944326575.1_BRZ_S_bin182	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018711035.1_ASM1871103v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018714005.1_ASM1871400v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018711945.1_ASM1871194v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_018712835.1_ASM1871283v1	95	211	188	Bacteria	Bacteria incertae sedis
GCA_001748245.1_ASM174824v1	0	153	153	Bacteria	Bdellovibrionota
GCA_014378195.1_ASM1437819v1	0	153	153	Bacteria	Bdellovibrionota
GCA_028150065.1_ASM2815006v1	0	153	153	Bacteria	Bdellovibrionota
GCA_945874265.1_MiH-22jul19-201	0	153	153	Bacteria	Bdellovibrionota
GCA_013215145.1_ASM1321514v1	0	153	153	Bacteria	Bdellovibrionota
GCA_947479535.1_RH-26jul17-204	0	153	153	Bacteria	Bdellovibrionota
GCA_014281055.1_ASM1428105v1	0	153	153	Bacteria	Bdellovibrionota
GCA_945878015.1_TrE-25oct19-310	0	153	153	Bacteria	Bdellovibrionota
GCA_009208585.1_ASM920858v1	0	153	153	Bacteria	Bdellovibrionota
GCA_009792895.1_ASM979289v1	0	153	153	Bacteria	Bdellovibrionota
GCA_029873255.1_ASM2987325v1	0	153	153	Bacteria	Bdellovibrionota
GCA_001907975.2_ASM190797v2	0	153	153	Bacteria	Bdellovibrionota
GCA_009208775.1_ASM920877v1	0	153	153	Bacteria	Bdellovibrionota
GCA_019746475.1_ASM1974647v1	0	153	153	Bacteria	Bdellovibrionota
GCA_003339605.1_ASM333960v1	0	153	153	Bacteria	Bdellovibrionota
GCA_015232015.1_ASM1523201v1	0	153	153	Bacteria	Bdellovibrionota
GCA_023617515.1_ASM2361751v1	215	244	238	Bacteria	
GCA_030765645.1_ASM3076564v1	215	244	238	Bacteria	
GCA_003369455.1_ASM336945v1	215	244	238	Bacteria	
GCA_030667945.1_ASM3066794v1	215	244	238	Bacteria	
GCA_028718575.1_ASM2871857v1	215	244	238	Bacteria	
GCA_030765605.1_ASM3076560v1	215	244	238	Bacteria	
GCA_030765525.1_ASM3076552v1	215	244	238	Bacteria	
GCA_023156015.1_ASM2315601v1	215	244	238	Bacteria	
GCA_021163445.1_ASM2116344v1	215	244	238	Bacteria	
GCA_021163565.1_ASM2116356v1	215	244	238	Bacteria	
GCA_021159165.1_ASM2115916v1	215	244	238	Bacteria	
GCA_023138735.1_ASM2313873v1	0	0	153	Bacteria	FCB group
GCA_030765765.1_ASM3076576v1	0	0	153	Bacteria	FCB group
GCA_030765225.1_ASM3076522v1	0	0	153	Bacteria	FCB group
GCA_013202315.1_ASM1320231v1	0	0	153	Bacteria	FCB group
GCA_937870965.1_ERR2113687_bin.41_CONCOCT_v1.1_MAG	0	0	153	Bacteria	FCB group
GCA_020852395.1_ASM2085239v1	0	0	153	Bacteria	FCB group
GCA_016744855.1_ASM1674485v1	0	0	153	Bacteria	FCB group
GCA_016928495.1_ASM1692849v1	0	0	153	Bacteria	FCB group
GCA_001875255.1_ASM187525v1	0	0	153	Bacteria	FCB group
GCA_029932975.1_ASM2993297v1	0	0	153	Bacteria	FCB group
GCA_002363235.1_ASM236323v1	0	0	153	Bacteria	FCB group
GCA_002071475.1_ASM207147v1	0	0	153	Bacteria	FCB group
GCA_016928395.1_ASM1692839v1	0	0	153	Bacteria	FCB group
GCA_020216745.1_ASM2021674v1	0	0	153	Bacteria	FCB group
GCA_000405125.1_ASM40512v1	0	0	153	Bacteria	FCB group
GCA_018005585.1_ASM1800558v1	0	0	153	Bacteria	FCB group
GCA_001536065.1_JGI_assembly	0	0	153	Bacteria	FCB group
GCA_001485645.1_JGI_assembly	0	0	153	Bacteria	FCB group
GCA_001442925.1_ASM144292v1	0	0	153	Bacteria	FCB group
GCA_025060635.1_ASM2506063v1	0	0	153	Bacteria	FCB group
GCA_900070205.1_JGI_assembly	0	0	153	Bacteria	FCB group
GCA_028276305.1_ASM2827630v1	0	0	153	Bacteria	FCB group
GCA_027320265.1_ASM2732026v1	0	0	153	Bacteria	FCB group
GCA_000403035.1_ASM40303v1	0	0	153	Bacteria	FCB group
GCA_963578855.1_CB11b_AW.46	0	0	153	Bacteria	FCB group
GCA_016187725.1_ASM1618772v1	0	0	153	Bacteria	FCB group
GCA_020354025.1_ASM2035402v1	0	0	153	Bacteria	FCB group
GCA_001509335.1_ASM150933v1	0	0	153	Bacteria	FCB group
GCA_014382815.1_ASM1438281v1	0	0	153	Bacteria	FCB group
GCA_900079105.1_E.factor.ts	215	244	238	Bacteria	
GCA_000522425.1_v3	215	244	238	Bacteria	
GCA_000522445.1_v3	215	244	238	Bacteria	
GCA_002914425.1_ASM291442v1	215	244	238	Bacteria	
GCA_028819935.1_ASM2881993v1	215	244	238	Bacteria	
GCA_003598085.1_ASM359808v1	0	255	255	Bacteria	PVC group
GCA_030765405.1_ASM3076540v1	0	255	255	Bacteria	PVC group
GCA_003599815.1_ASM359981v1	0	255	255	Bacteria	PVC group
GCA_030765365.1_ASM3076536v1	0	255	255	Bacteria	PVC group
GCA_030765265.1_ASM3076526v1	0	255	255	Bacteria	PVC group
GCA_030765805.1_ASM3076580v1	0	255	255	Bacteria	PVC group
GCA_030765135.1_ASM3076513v1	0	255	255	Bacteria	PVC group
GCA_026391995.1_ASM2639199v1	0	255	255	Bacteria	PVC group
GCA_002973605.1_ASM297360v1	170	255	170	Bacteria	Terrabacteria group
GCA_019239895.1_ASM1923989v1	170	255	170	Bacteria	Terrabacteria group
GCA_025055355.1_ASM2505535v1	170	255	170	Bacteria	Terrabacteria group
GCA_023169805.1_ASM2316980v1	170	255	170	Bacteria	Terrabacteria group
GCA_000512415.1_JJC_1.0	170	255	170	Bacteria	Terrabacteria group
GCA_000526155.1_ASM52615v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_033551855.1_ASM3355185v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_011322295.1_ASM1132229v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_000512235.1_ASM51223v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_020724025.1_ASM2072402v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_028698615.1_ASM2869861v1	0	153	153	Bacteria	Thermodesulfobacteriota
GCA_018052995.1_ASM1805299v1	0	153	153	Bacteria	Thermodesulfobacteriota
